Year,WP1,HWP,AWP,APPG1,WP2,HWP2,AWP2,APPG2,Score,Winner,WPT,HWPT,AWPT,APPG
1997,59.0,72.727,45.455,26.136,86.0,100.0,72.727,29.318,-7,1,-27.0,-27.273,-27.272,-3.182
1997,52.0,81.818,20.0,23.238,9.0,9.091,9.091,15.955,22,0,43.0,72.727,10.909,7.283
1997,43.0,54.545,30.0,22.762,36.0,45.455,27.273,23.455,-3,1,7.0,9.09,2.727,-0.693
1997,55.0,72.727,36.364,27.591,27.0,36.364,18.182,20.773,20,0,28.0,36.363,18.182,6.818
1997,50.0,55.556,45.455,27.65,86.0,90.909,80.0,27.333,-9,1,-36.0,-35.353,-34.545,0.317
1997,36.0,45.455,27.273,23.455,59.0,72.727,45.455,26.136,-7,1,-23.0,-27.272,-18.182,-2.681
1997,9.0,9.091,9.091,15.955,38.0,63.636,10.0,22.0,-17,1,-29.0,-54.545,-0.909,-6.045
1997,60.0,88.889,36.364,27.2,52.0,81.818,20.0,23.238,17,0,8.0,7.071,16.364,3.962
1997,27.0,36.364,18.182,20.773,50.0,55.556,45.455,27.65,-6,1,-23.0,-19.192,-27.273,-6.877
1997,86.0,100.0,72.727,29.318,43.0,54.545,30.0,22.762,25,0,43.0,45.455,42.727,6.556
1997,86.0,90.909,80.0,27.333,55.0,72.727,36.364,27.591,6,0,31.0,18.182,43.636,-0.258
1997,55.0,72.727,36.364,27.591,36.0,45.455,27.273,23.455,21,0,19.0,27.272,9.091,4.136
1997,59.0,72.727,45.455,26.136,9.0,9.091,9.091,15.955,29,0,50.0,63.636,36.364,10.181
1997,43.0,54.545,30.0,22.762,60.0,88.889,36.364,27.2,19,0,-17.0,-34.344,-6.364,-4.438
1997,50.0,55.556,45.455,27.65,86.0,100.0,72.727,29.318,-7,1,-36.0,-44.444,-27.272,-1.668
1997,38.0,63.636,10.0,22.0,86.0,90.909,80.0,27.333,-4,1,-48.0,-27.273,-70.0,-5.333
1997,52.0,81.818,20.0,23.238,27.0,36.364,18.182,20.773,22,0,25.0,45.454,1.818,2.465
1997,60.0,88.889,36.364,27.2,59.0,72.727,45.455,26.136,11,0,1.0,16.162,-9.091,1.064
1997,36.0,45.455,27.273,23.455,50.0,55.556,45.455,27.65,11,0,-14.0,-10.101,-18.182,-4.195
1997,9.0,9.091,9.091,15.955,43.0,54.545,30.0,22.762,7,0,-34.0,-45.454,-20.909,-6.807
