,Year,Team,Played,WinPercent,Total_Points_Scored,average_points_per_game,Home_win_pc,Away_win_pc
0,1997,Newcastle Falcons,22,86.364,645,29.318,100.0,72.727
1,1998,Newcastle Falcons,26,53.846,719,27.654,84.615,23.077
2,1999,Newcastle Falcons,20,40.0,346,17.3,40.0,40.0
3,2000,Newcastle Falcons,22,59.091,554,25.182,72.727,45.455
4,2001,Newcastle Falcons,22,50.0,490,22.273,63.636,36.364
5,2002,Newcastle Falcons,22,45.455,388,17.636,63.636,27.273
6,2003,Newcastle Falcons,20,35.0,442,22.1,50.0,20.0
7,2004,Newcastle Falcons,20,45.0,428,21.4,77.778,18.182
8,2005,Newcastle Falcons,21,47.619,400,19.048,63.636,30.0
9,2006,Newcastle Falcons,22,45.455,435,19.773,72.727,18.182
10,2007,Newcastle Falcons,22,45.455,333,15.136,72.727,18.182
11,2008,Newcastle Falcons,21,47.619,346,16.476,50.0,45.455
12,2009,Newcastle Falcons,19,36.842,274,14.421,37.5,36.364
13,2010,Newcastle Falcons,21,19.048,341,16.238,20.0,18.182
14,2011,Newcastle Falcons,21,57.143,335,15.952,70.0,45.455
15,2012,Newcastle Falcons,0,0.0,0,0.0,0.0,0.0
16,2013,Newcastle Falcons,22,40.909,281,12.773,36.364,45.455
17,2014,Newcastle Falcons,21,19.048,452,21.524,30.0,9.091
18,2015,Newcastle Falcons,21,33.333,342,16.286,54.545,10.0
19,2016,Newcastle Falcons,22,68.182,430,19.545,63.636,72.727
20,2017,Newcastle Falcons,23,73.913,460,20.0,72.727,75.0
21,2018,Newcastle Falcons,22,27.273,395,17.955,9.091,45.455
22,1997,Gloucester Rugby,21,52.381,488,23.238,81.818,20.0
23,1998,Gloucester Rugby,25,40.0,530,21.2,50.0,30.769
24,1999,Gloucester Rugby,22,54.545,628,28.545,72.727,36.364
25,2000,Gloucester Rugby,22,50.0,473,21.5,63.636,36.364
26,2001,Gloucester Rugby,22,59.091,692,31.455,72.727,45.455
27,2002,Gloucester Rugby,21,76.19,569,27.095,83.333,66.667
28,2003,Gloucester Rugby,22,45.455,491,22.318,63.636,27.273
29,2004,Gloucester Rugby,21,57.143,380,18.095,54.545,60.0
30,2005,Gloucester Rugby,21,28.571,468,22.286,54.545,0.0
31,2006,Gloucester Rugby,22,54.545,549,24.955,69.231,33.333
32,2007,Gloucester Rugby,23,65.217,576,25.043,75.0,54.545
33,2008,Gloucester Rugby,22,81.818,435,19.773,100.0,63.636
34,2009,Gloucester Rugby,21,42.857,457,21.762,60.0,27.273
35,2010,Gloucester Rugby,22,50.0,497,22.591,81.818,18.182
36,2011,Gloucester Rugby,21,38.095,441,21.0,36.364,40.0
37,2012,Gloucester Rugby,21,57.143,499,23.762,72.727,40.0
38,2013,Gloucester Rugby,22,40.909,440,20.0,45.455,36.364
39,2014,Gloucester Rugby,21,47.619,520,24.762,60.0,36.364
40,2015,Gloucester Rugby,21,42.857,390,18.571,36.364,50.0
41,2016,Gloucester Rugby,20,45.0,483,24.15,54.545,33.333
42,2017,Gloucester Rugby,21,42.857,465,22.143,70.0,18.182
43,2018,Gloucester Rugby,22,59.091,575,26.136,81.818,36.364
44,1997,Harlequins,22,36.364,516,23.455,45.455,27.273
45,1998,Harlequins,25,68.0,658,26.32,75.0,61.538
46,1999,Harlequins,22,40.909,441,20.045,54.545,27.273
47,2000,Harlequins,22,40.909,440,20.0,45.455,36.364
48,2001,Harlequins,20,35.0,403,20.15,36.364,33.333
49,2002,Harlequins,22,45.455,461,20.955,54.545,36.364
50,2003,Harlequins,20,60.0,460,23.0,81.818,33.333
51,2004,Harlequins,22,36.364,416,18.909,45.455,27.273
52,2005,Harlequins,0,0.0,0,0.0,0.0,0.0
53,2006,Harlequins,22,31.818,503,22.864,45.455,18.182
54,2007,Harlequins,22,40.909,480,21.818,63.636,18.182
55,2008,Harlequins,22,54.545,493,22.409,72.727,36.364
56,2009,Harlequins,21,57.143,403,19.19,81.818,30.0
57,2010,Harlequins,21,47.619,453,21.571,63.636,30.0
58,2011,Harlequins,24,66.667,581,24.208,61.538,72.727
59,2012,Harlequins,23,52.174,576,25.043,63.636,41.667
60,2013,Harlequins,23,60.87,454,19.739,63.636,58.333
61,2014,Harlequins,22,54.545,444,20.182,54.545,54.545
62,2015,Harlequins,21,47.619,508,24.19,60.0,36.364
63,2016,Harlequins,22,45.455,532,24.182,72.727,18.182
64,2017,Harlequins,22,36.364,479,21.773,54.545,18.182
65,2018,Harlequins,22,45.455,544,24.727,63.636,27.273
66,1997,Richmond,22,54.545,607,27.591,72.727,36.364
67,1998,Richmond,24,45.833,568,23.667,46.154,45.455
68,1999,Richmond,0,0.0,0,0.0,0.0,0.0
69,2000,Richmond,0,0.0,0,0.0,0.0,0.0
70,2001,Richmond,0,0.0,0,0.0,0.0,0.0
71,2002,Richmond,0,0.0,0,0.0,0.0,0.0
72,2003,Richmond,0,0.0,0,0.0,0.0,0.0
73,2004,Richmond,0,0.0,0,0.0,0.0,0.0
74,2005,Richmond,0,0.0,0,0.0,0.0,0.0
