Year,Home_Team,HTScore,Away_Team,ATScore,Winner,Winning_score,Loser,Losing_score,Draw

1997,"
Bath Rugby ",13," Newcastle Falcons
",20," Newcastle Falcons
",20,"
Bath Rugby ",13,0

1997,"
Gloucester Rugby ",35," Bristol Bears
",13,"
Gloucester Rugby ",35," Bristol Bears
",13,0

1997,"
Northampton Saints ",23," Harlequins
",26," Harlequins
",26,"
Northampton Saints ",23,0

1997,"
Richmond ",32," London Irish
",12,"
Richmond ",32," London Irish
",12,0

1997,"
Sale Sharks ",10," Saracens
",19," Saracens
",19,"
Sale Sharks ",10,0

1997,"
Harlequins ",20," Bath Rugby
",27," Bath Rugby
",27,"
Harlequins ",20,0

1997,"
Bristol Bears ",21," Wasps
",38," Wasps
",38,"
Bristol Bears ",21,0

1997,"
Leicester Tigers ",33," Gloucester Rugby
",16,"
Leicester Tigers ",33," Gloucester Rugby
",16,0

1997,"
London Irish ",20," Sale Sharks
",26," Sale Sharks
",26,"
London Irish ",20,0

1997,"
Newcastle Falcons ",37," Northampton Saints
",12,"
Newcastle Falcons ",37," Northampton Saints
",12,0

1997,"
Saracens ",15,"Richmond
",9,"
Saracens ",15,"Richmond
",9,0

1997,"
Richmond ",37," Harlequins
",16,"
Richmond ",37," Harlequins
",16,0

1997,"
Bath Rugby ",44," Bristol Bears
",15,"
Bath Rugby ",44," Bristol Bears
",15,0

1997,"
Northampton Saints ",25,"Leicester Tigers
",6,"
Northampton Saints ",25,"Leicester Tigers
",6,0

1997,"
Sale Sharks ",26," Newcastle Falcons
",33," Newcastle Falcons
",33,"
Sale Sharks ",26,0

1997,"
Wasps ",15," Saracens
",19," Saracens
",19,"
Wasps ",15,0

1997,"
Gloucester Rugby ",29,"London Irish
",7,"
Gloucester Rugby ",29,"London Irish
",7,0

1997,"
Leicester Tigers ",33," Bath Rugby
",22,"
Leicester Tigers ",33," Bath Rugby
",22,0

1997,"
Harlequins ",52," Sale Sharks
",41,"
Harlequins ",52," Sale Sharks
",41,0

1997,"
Bristol Bears ",22," Northampton Saints
",15,"
Bristol Bears ",22," Northampton Saints
",15,0

1997,"
London Irish ",22," Wasps
",17,"
London Irish ",22," Wasps
",17,0

1997,"
Newcastle Falcons ",18," Richmond
",12,"
Newcastle Falcons ",18," Richmond
",12,0

1997,"
Saracens ",42," Gloucester Rugby
",24,"
Saracens ",42," Gloucester Rugby
",24,0

1997,"
Bath Rugby ",47," Richmond
",31,"
Bath Rugby ",47," Richmond
",31,0

1997,"
London Irish ",19," Newcastle Falcons
",35," Newcastle Falcons
",35,"
London Irish ",19,0

1997,"
Gloucester Rugby ",16," Harlequins
",17," Harlequins
",17,"
Gloucester Rugby ",16,0

1997,"
Saracens ",31,"Bristol Bears
",9,"
Saracens ",31,"Bristol Bears
",9,0

1997,"
Wasps ",22," Sale Sharks
",38," Sale Sharks
",38,"
Wasps ",22,0

